ticker,current_price
6029.T,170.0
6072.T,179.0
8705.T,187.0
6093.T,187.0
7919.T,198.0
7640.T,212.0
5928.T,266.0
2686.T,286.0
6347.T,322.0
2894.T,324.0
3159.T,334.0
7244.T,491.0
3987.T,501.0
5476.T,504.0
6635.T,509.0
5973.T,547.0
5252.T,561.0
3974.T,569.0
6778.T,585.0
7345.T,624.0
6545.T,648.0
7127.T,675.0
9332.T,688.0
6558.T,691.0
3963.T,706.0
9644.T,711.0
7971.T,725.0
5707.T,750.0
3246.T,754.0
6071.T,764.0
3080.T,767.0
3224.T,772.0
9274.T,773.0
7699.T,797.0
2323.T,800.0
7807.T,833.0
9405.T,838.0
5900.T,839.0
6091.T,851.0
6197.T,883.0
8103.T,889.0
4231.T,923.0
3924.T,938.0
8715.T,939.0
7871.T,942.0
5951.T,967.0
9193.T,999.0
6339.T,1049.0
7670.T,1051.0
5368.T,1053.0
1827.T,1096.0
7951.T,1098.0
3205.T,1129.0
4166.T,1149.0
6445.T,1150.0
7134.T,1167.0
7940.T,1191.0
1433.T,1243.0
2763.T,1265.0
8750.T,1275.0
4256.T,1283.0
4380.T,1287.0
4577.T,1334.0
8147.T,1350.0
7985.T,1418.0
6458.T,1419.0
2801.T,1449.5
5816.T,1480.0
4220.T,1494.0
9823.T,1519.0
2332.T,1564.0
3050.T,1602.0
7673.T,1613.0
2480.T,1673.0
9651.T,1745.0
3836.T,1768.0
7384.T,1789.0
1945.T,1809.0
2154.T,1838.0
2395.T,1853.0
9900.T,1888.0
5533.T,1925.0
5406.T,1979.0
6505.T,1992.0
8439.T,2014.5
6752.T,2053.5
4462.T,2147.0
3382.T,2200.5
6484.T,2281.0
7521.T,2296.0
4094.T,2355.0
5440.T,2372.0
9733.T,2496.0
9600.T,2516.0
4972.T,2603.0
2089.T,2709.5
3391.T,2818.5
7981.T,2839.0
4783.T,2930.0
8276.T,2957.0
1477.T,2999.0
5857.T,3065.0
1952.T,3120.0
7808.T,3190.0
2235.T,3279.0
4901.T,3460.0
6391.T,3475.0
6360.T,3680.0
9081.T,3740.0
2805.T,3890.0
4464.T,4020.0
4043.T,4100.0
6196.T,4110.0
6702.T,4190.0
6643.T,4195.0
7685.T,4220.0
7921.T,4605.0
4216.T,4690.0
7751.T,4733.0
7678.T,4785.0
6365.T,5090.0
3817.T,5200.0
1560.T,6066.0
9647.T,6780.0
5261.T,7030.0
4828.T,7770.0
1541.T,8330.0
9867.T,9340.0
6231.T,12520.0
2070.T,14370.0
1328.T,15845.0
6201.T,17695.0
2071.T,18050.0
1620.T,31010.0
9983.T,56570.0
2972.T,104000.0
3459.T,117700.0
3487.T,167900.0
