ticker,pattern,months_ago,latest_price,prev_open,prev_close,curr_open,curr_close,max_rise_pct
1349.T,bullish_engulfing,1,18000.0,17950.0,17610.0,17500.0,18000.0,0.0
1897.T,bullish_engulfing,1,3410.0,3380.0,3360.0,3350.0,3410.0,0.0
2045.T,bullish_engulfing,1,20500.0,20410.0,19310.0,19250.0,20500.0,0.0
2300.T,bullish_engulfing,1,502.0,501.0,494.0,494.0,502.0,0.0
2389.T,bullish_engulfing,1,16007999488.0,2012.0,1997.0,1995.0,16007999488.0,0.0
2481.T,bullish_engulfing,1,699.0,696.0,695.0,688.0,699.0,0.0
2530.T,bullish_engulfing,1,17800.0,17400.0,16710.0,16675.0,17800.0,0.0
2687.T,bullish_engulfing,1,509.0,506.0,487.0,487.0,509.0,0.0
2917.T,bullish_engulfing,1,918.0,911.0,906.0,906.0,918.0,0.0
2926.T,bullish_engulfing,1,101.0,99.0,97.0,96.0,101.0,0.0
2934.T,bullish_engulfing,1,1680.0,1329.0,1320.0,1320.0,1680.0,0.0
3058.T,bullish_engulfing,1,691.0,688.0,682.0,680.0,691.0,0.0
3174.T,bullish_engulfing,1,593.0,570.0,566.0,566.0,593.0,0.0
3560.T,bullish_engulfing,1,4300.0,3580.0,3500.0,3500.0,4300.0,0.0
3655.T,bullish_engulfing,1,7505573888.0,2693.0,2692.0,2692.0,7505573888.0,0.0
3664.T,bullish_engulfing,1,36.0,34.0,32.0,32.0,36.0,0.0
3680.T,bullish_engulfing,1,223.0,220.0,213.0,213.0,223.0,0.0
3986.T,bullish_engulfing,1,519.0,508.0,502.0,500.0,519.0,0.0
4494.T,bullish_engulfing,1,769.0,748.0,724.0,724.0,769.0,0.0
4645.T,bullish_engulfing,1,431.0,426.0,417.0,414.0,431.0,0.0
4657.T,bullish_engulfing,1,475.0,470.0,465.0,465.0,475.0,0.0
4883.T,bullish_engulfing,1,59.0,59.0,57.0,57.0,59.0,0.0
5035.T,bullish_engulfing,1,432.0,428.0,411.0,411.0,432.0,0.0
5341.T,bullish_engulfing,1,367.0,208.0,174.0,171.0,367.0,0.0
5575.T,bullish_engulfing,1,769.0,611.0,601.0,601.0,769.0,0.0
5590.T,bullish_engulfing,1,817.0,801.0,756.0,756.0,817.0,0.0
5997.T,bullish_engulfing,1,815.0,785.0,779.0,779.0,815.0,0.0
6029.T,bullish_engulfing,1,195.0,153.0,144.0,143.0,195.0,0.0
6090.T,bullish_engulfing,1,706.0,700.0,683.0,680.0,706.0,0.0
6265.T,bullish_engulfing,1,2935.0,2724.0,2685.0,2685.0,2935.0,0.0
6276.T,bullish_engulfing,1,312.0,268.0,244.0,244.0,312.0,0.0
6334.T,bullish_engulfing,1,400.0,396.955,394.0,392.0,400.0,0.0
6406.T,bullish_engulfing,1,37097512960.0,37008490496.0,36969299968.0,36969299968.0,37097512960.0,0.0
6555.T,bullish_engulfing,1,480.0,422.0,403.0,403.0,480.0,0.0
6694.T,bullish_engulfing,1,649.0,648.0,641.0,641.0,649.0,0.0
7116.T,bullish_engulfing,1,178503888.0,176991152.0,176688608.0,176537328.0,178503888.0,0.0
7357.T,bullish_engulfing,1,1582.0,1490.0,1481.0,1481.0,1582.0,0.0
7412.T,bullish_engulfing,1,662.0,625.0,610.0,610.0,662.0,0.0
7836.T,bullish_engulfing,1,88.0,88.0,86.0,86.0,88.0,0.0
7850.T,bullish_engulfing,1,888.0,884.0,861.0,850.0,888.0,0.0
8945.T,bullish_engulfing,1,1210.0,1206.0,1190.0,1190.0,1210.0,0.0
9012.T,bullish_engulfing,1,2151.0,2142.0,2137.0,2137.0,2151.0,0.0
9339.T,bullish_engulfing,1,1253.0,1240.0,1222.0,1222.0,1253.0,0.0
9444.T,bullish_engulfing,1,373.0,364.0,333.0,330.0,373.0,0.0
9539.T,bullish_engulfing,1,1374.0,1366.0,1272.0,1272.0,1374.0,0.0
9610.T,bullish_engulfing,1,175.0,170.0,126.0,125.0,175.0,0.0
9679.T,bullish_engulfing,1,2132.0,2130.0,2045.0,2045.0,2132.0,0.0
