コード,本日終値,前日比(%),出来高倍率,25日線乖離率(%)
2607.T,3662.0,7.93,3.07,6.3
2936.T,317.0,8.93,3.28,4.61
3664.T,28.0,33.33,11.38,-2.78
4676.T,4176.0,8.81,4.71,8.81
4968.T,1650.0,9.49,3.97,19.86
5137.T,214.0,11.46,8.66,-12.54
5256.T,2603.0,10.86,3.81,7.01
5590.T,730.0,5.04,3.27,-6.97
5981.T,2026.0,10.05,3.62,13.94
6166.T,514.0,15.51,4.16,-8.95
7060.T,604.0,7.86,3.77,7.73
7777.T,446.0,14.95,5.61,-2.3
7886.T,609.0,9.93,4.66,6.87
8746.T,248.0,16.43,3.78,8.7
8894.T,28.0,12.0,4.24,-14.22
9824.T,7010.0,8.68,4.65,11.55
